2026-02-23 07:24:26,278.39
2026-02-23 07:24:28,275.57
2026-02-23 07:24:30,284.63
2026-02-23 07:24:31,277.42
2026-02-23 07:24:34,278.87
2026-02-23 07:24:37,275.17
2026-02-23 07:24:39,283.81
2026-02-23 07:24:41,277.75
2026-02-23 07:24:43,279.56
2026-02-23 07:24:44,284.33
2026-02-23 07:24:47,278.26
2026-02-23 07:24:49,282.74
2026-02-23 07:39:08,282.86
2026-02-23 07:39:10,278.14
2026-02-23 07:39:12,275.42
2026-02-23 07:39:14,280.87
2026-02-23 07:39:15,282.87
2026-02-23 07:39:17,275.86
2026-02-23 07:39:18,276.57
2026-02-23 07:39:19,283.71
2026-02-23 07:39:21,279.82
2026-02-23 07:39:22,276.67
2026-02-23 07:39:24,277.07
2026-02-23 07:39:25,281.47
2026-02-23 07:39:28,284.7
